Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1923/10/1
上場日,1996/2/23
EBITDA･会予,"7,467百万円"
株数(自己株控除後),"8,992,913株"
