Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,12月末
設立日,1973/12/1
上場日,1987/12/10
EBITDA･会予,"3,177百万円"
株数(自己株控除後),"9,635,837株"
