Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1962/5/2
上場日,2003/2/19
EBITDA･会予,889百万円
株数(自己株控除後),"4,636,124株"
