Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,10月末
設立日,1976/9/1
上場日,1993/5/28
EBITDA･会予,"1,108百万円"
株数(自己株控除後),"24,997,400株"
