Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,鉱業
会計,日本
決算,3月末
設立日,2008/10/1
上場日,2008/10/1
EBITDA･会予,"3,786百万円"
株数(自己株控除後),"53,218,729株"
