Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1969/2/1
上場日,2013/4/9
EBITDA･会予,"1,362百万円"
株数(自己株控除後),"11,097,464株"
