Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,2月末
設立日,1978/2/1
上場日,2003/2/21
EBITDA･会予,"1,272百万円"
株数(自己株控除後),"18,135,445株"
