Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,12月末
設立日,1950/5/6
上場日,1962/9/28
EBITDA･会予,"3,600百万円"
株数(自己株控除後),"13,869,428株"
