Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1949/12/23
上場日,1990/10/25
EBITDA･会予,"3,796百万円"
株数(自己株控除後),"21,771,379株"
