Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,12月末
設立日,1975/6/2
上場日,2017/2/10
EBITDA･会予,346百万円
株数(自己株控除後),"1,322,176株"
