Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1942/9/23
上場日,1994/8/26
EBITDA･会予,"5,573百万円"
株数(自己株控除後),"19,587,502株"
