Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,3月末
設立日,1967/5/1
上場日,2003/1/29
EBITDA･会予,"2,528百万円"
株数(自己株控除後),"11,105,637株"
