Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1961/6/1
上場日,2001/4/10
EBITDA･会予,201百万円
株数(自己株控除後),"3,413,729株"
