Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1950/7/11
上場日,1963/6/25
EBITDA･会予,536百万円
株数(自己株控除後),"3,602,123株"
