Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1982/2/3
上場日,2018/12/18
EBITDA･会予,"1,417百万円"
株数(自己株控除後),"4,349,451株"
