Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1951/8/27
上場日,1995/4/7
EBITDA･会予,"1,017百万円"
株数(自己株控除後),"2,462,553株"
