Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,3月末
設立日,1914/3/25
上場日,1949/5/16
EBITDA･会予,"6,626百万円"
株数(自己株控除後),"9,105,745株"
