Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1946/8/1
上場日,1973/9/14
EBITDA･会予,"3,891百万円"
株数(自己株控除後),"5,944,866株"
