Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,10月末
設立日,1977/1/1
上場日,2003/11/5
EBITDA･会予,969百万円
株数(自己株控除後),"19,571,065株"
