Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1952/12/22
上場日,1991/12/6
EBITDA･会予,"1,965百万円"
株数(自己株控除後),"5,857,679株"
