Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,3月末
設立日,1961/4/1
上場日,2002/10/8
EBITDA･会予,"4,523百万円"
株数(自己株控除後),"44,948,487株"
