Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1948/10/28
上場日,1973/5/1
EBITDA･会予,"1,431百万円"
株数(自己株控除後),"16,136,854株"
