Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,非鉄金属
会計,日本
決算,3月末
設立日,1932/5/2
上場日,1949/4/30
EBITDA･会予,731百万円
株数(自己株控除後),"288,214,016株"
