Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,3月末
設立日,1954/4/27
上場日,1989/10/26
EBITDA･会予,"1,607百万円"
株数(自己株控除後),"5,604,216株"
