Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1986/6/1
上場日,2004/12/16
EBITDA･会予,59百万円
株数(自己株控除後),"8,732,711株"
