Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,12月末
設立日,1962/1/1
上場日,2003/10/29
EBITDA･会予,"1,536百万円"
株数(自己株控除後),"1,093,182株"
