Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,8月末
設立日,1965/6/1
上場日,1994/4/19
EBITDA･会予,624百万円
株数(自己株控除後),"1,994,315株"
