Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,3月末
設立日,1941/1/15
上場日,1962/5/15
EBITDA･会予,"1,476百万円"
株数(自己株控除後),"8,822,190株"
