Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,水産・農林業
会計,日本
決算,3月末
設立日,1979/5/25
上場日,1997/11/19
EBITDA･会予,479百万円
株数(自己株控除後),"4,169,123株"
