Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1948/6/30
上場日,1983/11/1
EBITDA･会予,"2,230百万円"
株数(自己株控除後),"6,328,512株"
