Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,機械
会計,日本
決算,3月末
設立日,1955/4/23
上場日,2011/6/29
EBITDA･会予,"4,018百万円"
株数(自己株控除後),"6,901,165株"
