Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,8月末
設立日,1970/8/21
上場日,2015/9/8
EBITDA･会予,913百万円
株数(自己株控除後),"6,815,915株"
