Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,3月末
設立日,1951/3/1
上場日,2007/6/21
EBITDA･会予,221百万円
株数(自己株控除後),"3,777,672株"
