Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,3月末
設立日,1950/12/1
上場日,1990/11/8
EBITDA･会予,991百万円
株数(自己株控除後),"2,053,553株"
