Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,3月末
設立日,1949/11/29
上場日,1953/3/25
EBITDA･会予,566百万円
株数(自己株控除後),"5,452,685株"
