Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1944/6/30
上場日,1963/5/17
EBITDA･会予,"2,410百万円"
株数(自己株控除後),"28,827,690株"
