Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,3月末
設立日,1990/8/1
上場日,2007/10/25
EBITDA･会予,"3,243百万円"
株数(自己株控除後),"15,543,041株"
