Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1970/7/8
上場日,1991/11/19
EBITDA･会予,"1,245百万円"
株数(自己株控除後),"6,529,476株"
