Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1917/6/1
上場日,1962/7/2
EBITDA･会予,"1,130百万円"
株数(自己株控除後),"1,771,949株"
