Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1980/9/12
上場日,2004/2/19
EBITDA･会予,"1,001百万円"
株数(自己株控除後),"11,528,560株"
