Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,金属製品
会計,日本
決算,3月末
設立日,1951/3/7
上場日,1961/10/2
EBITDA･会予,404百万円
株数(自己株控除後),"2,351,133株"
