Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1964/10/1
上場日,1996/8/5
EBITDA･会予,"1,911百万円"
株数(自己株控除後),"9,146,146株"
