Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1959/9/26
上場日,2003/3/13
EBITDA･会予,"4,942百万円"
株数(自己株控除後),"8,010,403株"
