Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,10月末
設立日,1993/11/1
上場日,2003/10/16
EBITDA･会予,N/A
株数(自己株控除後),"13,466,811株"
