Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,12月末
設立日,1947/6/2
上場日,1962/9/21
EBITDA･会予,715百万円
株数(自己株控除後),"6,923,466株"
