Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,2018/1/9
上場日,2018/1/9
EBITDA･会予,570百万円
株数(自己株控除後),"16,235,292株"
