Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,1月末
設立日,1967/5/1
上場日,1997/11/20
EBITDA･会予,"1,113百万円"
株数(自己株控除後),"705,474株"
