Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,3月末
設立日,1965/5/1
上場日,2002/10/11
EBITDA･会予,"1,072百万円"
株数(自己株控除後),"5,348,749株"
