Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1946/7/12
上場日,1963/10/18
EBITDA･会予,"3,914百万円"
株数(自己株控除後),"25,356,155株"
