Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1954/3/1
上場日,1993/4/13
EBITDA･会予,"1,377百万円"
株数(自己株控除後),"17,748,048株"
