Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,6月末
設立日,1971/7/1
上場日,1997/4/11
EBITDA･会予,574百万円
株数(自己株控除後),"1,253,625株"
