Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,食料品
会計,日本
決算,3月末
設立日,1924/11/20
上場日,2000/3/1
EBITDA･会予,"7,659百万円"
株数(自己株控除後),"24,024,387株"
