Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,9月末
設立日,1962/5/25
上場日,2008/12/4
EBITDA･会予,"3,107百万円"
株数(自己株控除後),"13,258,506株"
