Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,3月末
設立日,1969/9/1
上場日,2002/12/16
EBITDA･会予,"2,164百万円"
株数(自己株控除後),"12,167,695株"
