Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,9月末
設立日,1984/12/1
上場日,2002/6/13
EBITDA･会予,299百万円
株数(自己株控除後),"4,994,630株"
