Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1948/7/1
上場日,2000/4/25
EBITDA･会予,"2,869百万円"
株数(自己株控除後),"5,111,900株"
