Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,3月末
設立日,1987/1/1
上場日,2008/8/22
EBITDA･会予,"1,070百万円"
株数(自己株控除後),"5,548,240株"
