Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,サービス業
会計,日本
決算,12月末
設立日,1980/2/1
上場日,2007/12/18
EBITDA･会予,"1,802百万円"
株数(自己株控除後),"6,820,056株"
