Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,建設業
会計,日本
決算,3月末
設立日,1937/12/19
上場日,1994/12/16
EBITDA･会予,966百万円
株数(自己株控除後),"4,764,961株"
