Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,10月末
設立日,1989/7/14
上場日,2003/3/4
EBITDA･会予,N/A
株数(自己株控除後),"115,759,919株"
