Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,5月末
設立日,1991/6/1
上場日,2002/6/12
EBITDA･会予,438百万円
株数(自己株控除後),"3,111,232株"
