Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,情報・通信業
会計,日本
決算,3月末
設立日,2001/5/24
上場日,2007/2/14
EBITDA･会予,N/A
株数(自己株控除後),"11,122,418株"
