Type,Value
市場,ｽﾀﾝﾀﾞｰﾄﾞ
業種,水産・農林業
会計,日本
決算,6月末
設立日,1962/11/13
上場日,2000/12/12
EBITDA･会予,"2,390百万円"
株数(自己株控除後),"5,615,742株"
